document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
108,To see how viewing a two-dimensional object and a dimensional object can skew our perception.,1.41399799174926e-308,1.3387230143248914e-308,2.240321884660274e-308,1.1993242515618476e-308,5.171785786732597e-308,1.7130939301211383e-308,1.0
109,The experiment tests how easy one can identify the target in the graph.,0.08232547663491126,0.0866271448276277,0.07826444112290176,0.10170185786129164,0.197863746807494,0.08450708220729995,0.0864014694417735
110,I think the purpose of the experiment was to identify whether or not 3D graphs are easier to read compared to other types of graphs.,1.1872734803320305e-308,1.389711701888014e-308,1.3548837317082214e-308,1.255983797756914e-308,1.0,2.419396798108942e-308,2.5859890281055434e-308
111,The purpose of this experiment was to see which graph had a great value between graph A and graph B.,0.079944761352918,0.08614475196486863,0.07654491015693604,0.09890531081260859,0.20373119935561598,0.08598603149975369,0.08643425376059896
112,I think the purpose of the experiment was to see how people were able to understand graphs and 3d data. How people are able to visualize differences,1.356684997719435e-308,1.3317465049022506e-308,1.664352588896372e-308,1.361366198223101e-308,1.0,1.6725945118646157e-308,2.5079860570046375e-308
113,To see if people could identify 2d online or 3d printed bar graphs better.,0.09424573417675093,0.2928090753476172,0.0696631394383226,0.11454531307859567,0.1299867726679058,0.12320804222180579,0.09680593475537623
114,I thought the purpose of the experiment was to see if people could accurately guess the difference in height/ length between two objects.,0.09979527110990521,0.04177832034527156,0.3790901003908967,0.04284143312543957,0.059282987348920506,0.030858673984097484,0.10677152434831183
115,"If I were to wager a guess, it was to replicate a past study examining the effect of visual depth on perceiving three dimensional data visualization.",1.1810618731034725e-308,1.1131762900418653e-308,1.852465829793364e-308,1.090791492617311e-308,1.0,1.6503723684852987e-308,4.932016367188368e-308
116,The purpose of this experiment was to determine how well people could perceive and compare data using 3D printed bar charts compared to 2D versions. Aiming to explore whether the depth in 3D formats improved or hindered the accuracy in interpreting visual data.,6.635762328995867e-309,9.598802674911484e-309,7.381603867762024e-309,8.28798272684207e-309,1.5717724412850204e-308,1.0,1.3100976754000385e-308
117,"To allow for the researchers to make a conclusion about which type of graph (2d, 3d, or 3d printed) is better for conveying information.",0.10341531644989992,0.3215934697370626,0.07777119555944456,0.10234038908087688,0.13829901090697824,0.13215361397958314,0.1137223080312453
118,I think the purpose of this experiment was to better understand how to get students to recognize information/data better. It was to figure out whether 2D or 3D graphs work better for students understanding.,1.3211413484078343e-308,1.3356816818695553e-308,1.609792831079068e-308,1.3399549674888555e-308,1.0,1.7605871550202273e-308,2.5589425175572087e-308
119,The purpose of the experiment was to identify perceptual differences in how 3D and 2D data models are presented.,0.06558554824440344,0.08787929188319499,0.08084742938374082,0.06462235552402251,0.17188250852330417,0.13579884624558408,0.3344858632896236
120,To see how different people visualize numbers.,0.27704950359224356,0.14693581998517238,0.08438907160832317,0.0920454179103833,0.09839814966029509,0.06194655857781161,0.07858165538459107
121,To see how well people can guess or estimate the height of things.,0.0971670232303971,0.08575754238061763,0.08116387143182184,0.07234589875247051,0.05367101070051264,0.03948180479666438,0.08819347357550296
122,I think the purpose was to compare the effectiveness of 3d printed bar charts to digital charts.,0.021204732913671535,0.0336496048233024,0.02250369174601089,0.028444237190398045,0.0572100032856932,0.7250810494067039,0.038764679338699995
123,I think the purpose of this experiment was to identify the percentage of correctly guessing the distance between two graphs and the average guesses on the percentages.,0.08434446369173451,0.0868320268093221,0.07957191218854019,0.10426231206807388,0.19326408633379116,0.08314734179780317,0.0862690760140347
124,to gather statistical data about how people viewed the graphs,1.281735709626774e-308,1.0,8.086099966148596e-309,1.151949950874308e-308,1.191753797060964e-308,1.048613501937789e-308,9.62647884281693e-309
125,To determine if it is more accurate to determine size and ratio from a 2d perspective compared to a 3d perspective.,0.18652498209932328,0.11567816359798808,0.11770371745698609,0.08078949501621491,0.08398102028587125,0.06152379226496285,0.13814869813697525
126,I think the purpose of the experiment was to see the difference between how someone can read a 2D or 3D graph.,1.2114208461740883e-308,1.321151653580407e-308,1.4656322967477864e-308,1.270945291023116e-308,1.0,2.0658103486847014e-308,2.6372925697642817e-308
127,To replicate partial results from Cleveland and Mcgill and to extend their study.,1.0,7.447830898470303e-309,2.3205985774234554e-308,8.09026626411107e-309,9.541701774718173e-309,5.845553670742985e-309,9.50290832076912e-309
128,I think that the purpose of the experiment was to see whether or not we could identify different graphs when they look different.,0.08376815911933494,0.08754657662781791,0.07977381683573694,0.10486251369677016,0.18988390448074827,0.08508365997585544,0.08677258816703613
129,I think the purpose of the experiment was to investigate how well individuals can replicate models coming from two platforms (physical model to online model).,0.48241578044897965,0.055274282247823416,0.21352080721958533,0.06199756622777901,0.07239861302501639,0.0404547462589696,0.07393820457184672
130,To determine whether physical 3D graphs are easier for people to correctly read than digital 3D graphs.,0.07326907182771082,0.12133495300610707,0.07591728491994594,0.08008172224516337,0.19878822941335716,0.2772696458176602,0.16263439651514588
